id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
96,0,1,7,1,73,1,1,0,0,0.08113329,0.0701459,37212,5619.3008,0,62.5,0,1,0,4,0,1,0,0,0,0,0,0,0.62107945
97,0,3,3,0,69,2,0,0,1,0.21839081,0.19540229,53529,0.3105447,0,46.3,0,0,0,7,0,0,1,0,0,0,0,0,0.2968578
98,,3,5,1,54,1,1,0,0,0.15483435,0.04661389,51442,2688.187,1,65.5,0,0,0,1,0,1,0,0,0,0,1,0,0.58248001
99,,2,0,0,61,5,1,0,0,0.0799458,0.03677058,30361,4504.7178,0,66.5,0,0,0,9,0,1,0,0,0,0,0,0,0.57124406
100,0,2,9,0,47,2,0,0.99198395,0.00801603,0.11360993,0.04752572,49073,552.16547,0,43.2,0,0,0,6,0,1,0,0,0,0,0,0,0.3191655
101,0,2,1,0,36,2,1,0,0,0.10629371,0.0437557,41953,2867.7058,0,64.6,0,0,0,2,0,0,0,0,0,0,0,1,0.54299456
102,0,1,3,1,48,2,1,0,0,0.25677604,0.02631579,91634,522.23523,0,54.3,0,0,0,5,0,0,0,0,0,0,0,0,0.46076286
103,0,1,7,1,75,5,1,0,0,0.08248472,0.04581901,54519,2376.5469,0,71.9,0,0,0,6,0,0,0,0,0,0,0,1,0.57123995
104,0,1,7,1,48,2,1,0,0,0.18414634,0.00864553,81800,2255.4768,0,50.4,1,0,0,6,0,0,0,0,0,0,0,1,0.49369967
105,0,3,4,1,82,2,1,0,0,0.09617548,0.06113537,48171,1231.3881,0,47.8,0,1,1,6,0,0,0,0,0,0,0,0,0.58684683
106,0,3,4,1,46,1,1,0,0,0.14472671,0.01986755,61818,3114.2224,0,57.9,0,0,1,6,0,0,0,0,0,0,1,0,0.55525726
107,1,2,9,0,45,1,0,1,0,0.15362731,0.05285868,60096,403.43387,0,35,1,0,1,10,0,1,0,0,0,0,0,0,0.2901859
108,1,2,8,1,47,1,0,0,1,0.07342527,0.0963126,32950,5.2097259,0,42.1,0,0,1,2,1,0,0,0,0,0,1,0,0.43634462
109,0,2,6,0,73,2,0,0.5843094,0.4156906,0.09116107,0.06543019,36843,47.085079,0,43.8,1,0,1,6,0,0,0,0,0,0,0,0,0.34561944
110,0,1,2,1,62,2,1,0,0,0.23501997,0.05130513,72908,1144.8127,0,53.9,1,0,0,6,0,1,0,0,0,0,0,0,0.51312578
111,0,3,3,0,64,5,1,0,0,0.10096154,0.04244898,44233,4164.6357,0,61.4,0,0,0,8,0,0,1,0,0,0,0,0,0.528543
112,1,2,1,0,75,1,1,0,0,0.19079685,0.04219949,68313,1669.4229,1,53.5,0,1,1,7,0,0,0,0,0,0,1,0,0.44957104
113,,2,8,0,60,2,0,0,1,0.06081081,0.07197943,37083,4.001791,0,33.5,1,0,1,6,0,0,0,0,0,0,0,0,0.34969106
114,1,1,9,0,46,1,1,0,0,0.02138365,0.1256175,24120,5696.3848,1,75.4,0,0,0,6,0,0,0,0,1,0,0,0,0.8342852
115,,3,2,1,89,1,0.6950534,0,0.3049466,0.21111111,0.03056517,56952,273.85172,0,51.8,0,0,0,5,1,0,0,0,0,0,1,0,0.4907777
116,1,2,8,0,21,1,0.21559522,0.42459056,0.35981423,0.12339332,0.06312127,44526,8.5937424,0,42.5,0,0,1,10,0,0,1,0,0,0,0,0,0.37822515
